"link","链接"
"by","通过"
"View payload","浏览数据包"
"Add Wallet","添加钱包"
"Red Temperature","最高温度"
"Trust user","授权用户"
"Add Worker","添加矿机"
"FarmNavCleanWorkers","删除所有矿机消息"
"Save","保存"
"FarmTempHeader.ASICCriticalTemperature","ASIC 临界温度"
"Ask a question","提问"
"Report an issue","报告错误"
"Tags","标签"
"Wallets","钱包"
"Platform","平台"
"Run","运行"
"Wallet","钱包"
"Coin","数字货币"
"Pool","矿池"
"Miner","挖矿软件"
"Select pool","选择矿池"
"Select miner","选择挖矿软件"
"Select wallet","选择钱包"
"Configure Pool","配置矿池"
"Setup Miner Config","更改矿机配置"
"Dual Coin","副币"
"Dual Wallet","副钱包"
"Dual Pool","副矿池"
"","Decred/Siacoin/Lbry/Pascal 强度，默认值为30。PASC的合理值在10左右，SIA在15左右。过高的值会降低ETH挖矿效率。"
"Configure in miner","挖矿软件配置"
"Update","更新"
"Add New Flight Sheet","添加新的 Flight Sheet"
"Reset","重置"
"Create Flight Sheet","创建 Flight Sheet"
"Add Miner","添加挖矿软件"
"Email","Email"
"worker","矿机"
"selected","已选择"
"FlightSheetsRocket.Message","你希望将现有Flight Sheet应用到"
"Choose Flight Sheet for","选择 Flight Sheet"
"Your Company","你的公司"
"Home","主页"
"Admin","管理员"
"Privacy","隐私"
"Not Found","未找到"
"off","关闭"
"No","否"
"min","分钟"
"Remote","远程"
"Consumption","消耗"
"AES","AES"
"Cores","核心"
"Motherboard","主板"
"Free space","剩余空间"
"Free RAM","剩余内存"
"OS version","OS 版本"
"Drivers","驱动"
"Yes","是"
"System type","系统类型"
"Kernel","内核"
"Local IP","本地 IP"
"Load Average","平均负载"
"rigs","矿机"
"Jump to farms, workers...","跳转至矿场、矿机..."
"Notifications","通知"
"unread","未读"
"Show all","显示所有"
"No notifications yet","无通知"
"View geo location","查看所有地区"
"from","从"
"Accept","同意"
"Decline","拒绝"
"Term expires in","协议有效至"
"Enter value","输入数值"
"Generate","生成"
"Enter start date","输入起始日期"
"Start date","起始日期"
"End date","终止日期"
"Enter end date","输入终止日期"
"Name","名称"
"Create","创建"
"Russian","俄罗斯语"
"Chinese","中文"
"English","英文"
"NoActiveFound","未发现活动"
"all activities","所有活动"
"Latest Activity","最新活动"
"Load","读取"
"warning","警告"
"Previous","上一个"
"Next","下一个"
"configuration","配置"
"MiningInfo","运行Flight Sheet"
"Account","账户"
"Sign Out","登出"
"Billing","账单"
"Support","支持"
"Community","社区"
"Forum","论坛"
"Referrals","邀请码"
"NoRightsMessage","对不起，您没有查看此页面的足够权限。"
"to","至"
"Login","登录"
"access","权限"
"Notification.EventChanged","通知事件已更改"
"Notification.AccessChanged","权限已更改"
"Notification.WhitelistChanged","白名单已更改"
"Account.NotificationDescription6","你可以将这个机器人添加到聊天群组中，以便多个管理员可以监视矿机。创建群组并邀请“hiveosbot”作为成员，聊天代码对于群组是原生的，例如“12345”。"
"Account.NotificationDescription1","和机器人开始新的对话"
"Account.NotificationDescription2","机器人会回复您，你应该在右边区域看到你的代码，类似“12345”"
"Account.NotificationDescription3","你的用户名是"
"Account.NotificationDescription4","发送一个指令给机器人"
"Account.NotificationDescription5","它将订阅您的账号并收到通知"
"Update Settings","更新设置"
"Fan","风扇"
"Core Clock","核心频率"
"Memory Clock","显存频率"
"Power Limit","功耗限制"
"(0 for auto)","（0 为自动）"
"(0 for stock value)","（0 为出厂设定值）"
"NvidiaCardFrom.SpecifyDevice","指定哪台设备接受我们的高级解决方案，--revA"
"NvidiaCardFrom.MemClock","通常这个值是AfterBurner中的2倍。例如在Windows下是+800Mhz，这里就应该写1600"
"NvidiaCardFrom.OffLED","关闭LED(可能部分显卡不适用)"
"OhGodAnETHlargementPill","ETH增长pill"
"ValueCardSeparatedSpace","你可以为所有的卡指定一个值，也可以为每张卡列出单独的值，用空格间隔"
"one value for all GPUs.","所有GPU统一值"
"means GPU0 = none, GPU1 = 100, etc.","指 GPU0 = 无，GPU1 = 100，以此类推"
"Configure","配置"
"Overclocking Settings","超频设定"
"OverclockingProfileModal.Text","选择超频配置给"
"ApplyOverclockProfile","是否应用当前超频配置给"
"Invalid Shares","无效份额"
"Show all payments","显示所有支付记录"
"No payments yet","尚无支付记录"
"Pool address","矿池地址"
"Select pool address","选择矿池地址"
"Add New Pool","添加新矿池"
"Enter email","填写邮箱"
"Select Pool Server","选择矿池服务器"
"Selected Pool Servers","已选服务器"
"on","on"
"rights","权限"
"Workers","矿机"
"Balance","余额"
"Shared with me","与我分享的"
"Timezone","时区"
"Create New Farm","创建新矿场"
"Select timezone","选择时区"
"Input farm name","输入矿场名称"
"Mem State","内存状态"
"Core Voltage","核心电压"
"Core State","核心状态"
"RadeonCardFrom.fanSpeed2","在Claymore中配置文件覆盖"
"RadeonCardFrom.fanSpeed1","你可以设定风扇转速，但总是受挖矿软件如Claymore的控制。你应该先在挖矿软件配置文件中关闭风扇控制。把"
"RadeonCardFrom.memState.text3","你应该在显存频率设定里面使用这个参数"
"RadeonCardFrom.memState.text2","RX显卡有1或2个显存状态(事实上3个，包括停顿状态)。默认下将会选择最高的状态。但是少数卡会在最高模式下因电压不足而出错，所以要选择一个较低的模式。例如，最高值是2，但对于电压不足的显卡你应该设为1。"
"RadeonCardFrom.memState.text1","这是一个非常高级的参数，如果有电压不足的问题可以试试。如果一切正常就不要用这个。"
"RadeonCardFrom.coreVddc.text5","从VBIOS表格"
"RadeonCardFrom.coreVddc.text4","意为mV或数值例如"
"RadeonCardFrom.coreVddc.text3","你可以设定数值例如"
"RadeonCardFrom.coreVddc.text2","状态将被用来设置电压"
"RadeonCardFrom.coreVddc.text1","当你打算给你的显卡降低电压，那这个就是必须的。同时你必须设定核心状态或者默认"
"RadeonCardFrom.coreState.text4.","降低这个值来调低电压"
"Default is","默认为"
"RadeonCardFrom.coreState.text2","DPM(动态功耗管理)"
"RadeonCardFrom.coreState.text1","当你打算给你的显卡降低电压，那这个就是必须的。你需要在核心频率和核心电压的设置中用到这个参数。"
"RadeonCardFrom.coreClock.text2","如果核心状态没有设置，即为默认值"
"RadeonCardFrom.coreClock.text1","在这里设置核心频率，一个优值大约为"
"RadeonCardFrom.coreClock.text3","状态将会被用来设置频率"
"Refill","充值"
"balance","余额"
"per month","每月"
"Recommended payment is","建议充值为"
"From balance","通过余额"
"With Coinpayment","通过数字货币"
"Console","控制台"
"Execute command","执行命令"
"Wrong command","错误命令"
"Remove all messages?","确认移除所有消息？"
"EDIT","编辑"
"Overview","概述"
"Cards","显卡"
"CONSOLE","控制台"
"Offline","掉线"
"Booted","启动"
"Uptime","正常运行时间"
"TRANSFER","转移"
"Monitoring","监控"
"Reboot","重启"
"Miner Config","挖矿软件配置"
"Rocket","Rocket"
"Upgrade","升级"
"Shutdown","关机"
"OpenVPN configuration","OpenVPN配置"
"Power actions","功耗动作"
"Server URL","服务器链接"
"Edit tags","编辑标签"
"Miner actions","挖矿软件动作"
"Teleconsole Start","遥控开启"
"Teleconsole Stop","遥控关闭"
"Teleconsole Restart","遥控重启"
"Hashrate watchdog","算力监视器"
"Run command","运行命令"
"Miner Log","挖矿软件日志"
"Stop Miner","停止挖矿软件"
"Restart Miner","重启挖矿软件"
"Remote access","远程权限"
"more messages","更多消息"
"Add","添加"
"Password","密码"
"Description","描述"
"Add New Worker","添加新矿机"
"RigForm.EnterWorkerName","输入矿机名"
"RigForm.EnterWorkerPassword","输入矿机密码"
"RigForm.EnterWorkerDescription","输入矿机描述"
"rejected","拒绝的"
"shared","分享的"
"Upgrade to","升级到"
"New features","新特性"
"New version","新版本"
"Current version","当前版本"
"SaveOCModal","保存超频模组"
"Enter Name","输入名称"
"SaveOverclockingAsTemplate.Name","超频配置文件名称"
"SaveOverclockingAsTemplate.Title","保存超频为模版"
"Set","设定"
"Default","默认"
"Choose URL","选择链接"
"ServerUrlFrom.Help3","放心！当你更改设定之前，确保物理的或联网的(SSH)矿机使用权限。当矿机无法连接到指定URL，就会掉线。镜像的URL保存在/hive-config/rig.conf，你可以进行手动编辑。"
"ServerUrlFrom.Help2","如果它为默认状态，Hive会自己选择一个连接，通常是列表中的第一个。"
"ServerUrlFrom.Help1","如果矿机连接Hive服务器出现了问题，经常出现虚假在线或掉线的情况，那么你可以尝试不同的服务器URL链接。有时候防火墙也会导致问题(你自己的或者ISP)，换个端口会有帮助。"
"Mirror Select","镜像选择"
"Stats","统计"
"gpu","显卡"
"for 24 hours","24小时"
"View all","查看全部"
"day","日"
"Day left","剩余天数"
"Days left","剩余天数"
"New Tag Name","新标签名"
"Add Tag","添加标签"
"Add tag","添加标签"
"Explore transaction","查看交易"
"Referrals.TransactionsNotFound","暂无交易记录"
"Upload VBIOS","上传VBIOS"
"VBIOS ROM file","VBIOS ROM文件"
"UploadingBiosFromLabel","不顾安全检查，强行刷机"
"Upload","上传"
"VPN.ClientConf","VPN client配置文件(内置证书仅上传至此文件)"
"Login (auth-user-pass)","登陆(授权用户)"
"Password (auth-user-pass)","密码(授权用户)"
"Address","地址"
"Enter wallet address","输入钱包地址"
"Enter wallet name","输入钱包名称"
"Accepted shares ratio","份额接受比例"
"Invalid shares","无效份额"
"High Temperature","高温"
"Low hashrate","低算力"
"cores","核心"
"Hive OS Version:","Hive OS版本"
"Power:","功率："
"Free disk space:","剩余磁盘空间："
"Restart","重启"
"Stop","停止"
"Shut Down","关停"
"Overclocking profiles","超频配置文件"
"WorkerActions.Upgrade","是否希望将您的矿机升级到最新的OS版本？"
"WorkerMiner.Tooltip","有效的 拒绝的 无效的，有效比率"
"NoStatsFoundSoFar","暂无统计数据"
"","您没有所需的使用权限"
"Delete","删除"
"You can","你可以"
"create one","新建一个"
"FarmsAccess.NoUsersFound","暂无用户"
"Owner","所有者"
"Access Levels","授权等级"
"User name","用户名"
"UserEditForm.GrantAccessProject","给这个项目授权"
"Grant access","授权"
"","老用户登陆"
"Access Levels...","授权等级..."
"User login","用户登陆"
"ProjectAccess.TrustUserDescription","你可以将矿场授权给其他用户，例如给管理员完全权限，那样可以管理任何事情。或者给你的技术人员只读监控权限，只让他们做一些简单的运维和监控。"
"Profile","个人档案"
"Telegram","Telegram"
"here","这里"
"Bio","个人信息"
"Update Info","升级信息"
"Company Info","公司信息"
"Skype","Skype"
"Phone","电话"
"API docs are","API文件为"
"Account.SetupTFAuth","设立二步验证"
"Account.TFAuth","二步验证"
"Update Password","更新密码"
"Confirm New Password","确认新密码"
"Account.PasswordError","密码必须是8位或以上"
"New Password","新密码"
"Current Password","当前密码"
"Full Name","全名"
"Account.ProfileSettings.Header","账号资料设定"
"Language","语言"
"Account.BIODescription1","关于你的额外信息"
"Account.BIODescription2","可选"
"Account.AuthenticationDecstiption","可以给你的Hive OS账户增强额外一层的安全性"
"Account.PasswordDescription","更改你的密码将也会重设你的API key"
"Account.ProfileDescription","名是你在Hive OS的身份并用于登陆"
"6 digits code","6位码"
"Enable 2FA","开启二步认证"
"Turn off 2FA","关闭二步认证"
"Account.AuthenticationTokenButton","生成新的个人APIToken"
"Authentication Tokens","认证Token"
"Account.AuthenticationToken","你可以在这里管理你的个人API Token。你可以为你的第三方应用生成一个新的Token，或者移除Session Token。"
"Personal Tokens","个人Tokens"
"Session Tokens","Session Tokens"
"Authy","Authy"
"Account.AuthenticationTwoFactor3","可以被安装于多个设备，包括电脑桌面"
"Account.AuthenticationTwoFactor4","用相机扫描这个码，并输入下方的码"
"Farm Activity Feed","矿场动态"
"Pay","支付"
"Payments","充值"
"Amount to refill, $","充值金额$"
"Your Current Balance","您当前余额"
"Payments History","充值记录"
"Farms Balance","矿场余额"
"Free","免费"
"Invoice","发票"
"days left","剩余天数"
"Disable Paid Features","关闭付费功能"
"Enable Paid Features","开启付费功能"
"Log in","登陆"
"Return to","返回到"
"Reset password","重设密码"
"Type email to recover password","输入邮箱找回密码"
"Error.Text","对不起，此页面出现错误"
"Just one step!","只需一步！"
"create wallet","创建钱包"
"first!","首先！"
"Farm.FarmsFs.Description","管理您需要的Flight Sheet"
"FarmOC.EmptyMessage","暂无超频配置文件。您可以"
"Add OC Profile","添加超频配置文件"
"Incoming farms","矿场收入"
"Log in your account","登陆你的帐号"
"2FA code (if enabled)","二步验证码(若已开启)"
"Remember me","记住登陆状态"
"Forgot password?","忘记密码？"
"Register","注册"
"Don't have account yet?","还没有注册？"
"","对不起，您好访问的页面不存在"
"Referral Link","推荐码链接"
"Referral.ReferralLink1","请把这个码散布出去，通过这个码注册的用户将被标记，当这些用户成功注册后，您将获得"
"Your referral","你的推荐码"
"Copy to Clipboard","复制到剪切板"
"Promo Code","优惠码"
"Referral.PromoCodeDescription1","有时您无法将你的链接给别人。在这里你可以生成你独有的推荐码，如“ARTHURQIE”或者“SAVEBUCKSFORARTHUR”。如果你是一个硬件销售商或服务提供商或其他线下商业体，这个将对你有帮助。为了激励客户通过你的码注册，Hive将会储存"
"Referral.PromoCodeDescription2","到他们的账户，一旦他们这样做了"
"ETH Wallet Address","ETH钱包地址"
"Referral Balance","推荐奖励余额"
"Deposit to Hive","存款至Hive"
"ReferralTransactionsHistory","推荐奖励支付记录"
"Referral.BalanceDescription2","为每个月初自动转账设定你的ETH钱包地址"
"Referral.BalanceDescription1","通过你的邀请加入的矿工"
"Referral.BalanceDescription3","推荐奖励提现每月一次，收取奖励需要在这设定钱包"
"Referral.BalanceDescription4","最小支付门槛为$25"
"Referral.BalanceDescription5","由于高额的BTC转账手续费，你的收入可能会变动"
"Referral.PromoCodeYoungAccount","你的账户用优惠码太早了"
"Referral.BalanceDescription","您还没有任何推荐奖励"
"Passwords do not match","密码不匹配"
"Create new account","新建账号"
"Confirm password","确认密码"
"Register.CheckboxLabelText","点击注册，您将同意"
"Terms","条款"
"Register.HaveAccount","是否已拥有账户？"
"RestorePassword.Message","已成功发送密码，请在您的邮箱中查看"
"Remove all","移除全部"
"Id","ID"
"Activity Feed","动态"
"Build Log","建立日志"
"Other","其他"
"Flight Sheet","Flight Sheet"
"Flight Sheets","Flight Sheets"
"FlightSheets.Message","开始挖矿请选择Flight Sheet！"
"StartConfOverclocking","开始配置超频"
"Flash VBIOS","刷VBIOS"
"OverclocingSettingsFoundSoFar","没有找到超频设置"
"Load From Template","载入模版"
"Save As Template","保存为模版"
"Reset All","重设全部"
"Configure New Algo","配置新的算法"
"Transfer","转移"
"Advanced Settings","高级设置"
"Confirmation required","需要确认"
"Settings.RemoveProject2","移除项目将不能被恢复！你确定吗？"
"Settings.RemoveProject3","这个动作将导致数据丢失。为了避免意外我们需要你确认"
"Please type","请输入"
"Settings.RemoveProject4","下一步或者关闭取消"
"Settings.RemoveProject1","您将移除矿机"
"Remove Worker","移除矿机"
"Settings.RemovedWorker","移除的矿机将不能被恢复！"
"Update Worker","升级矿机"
"Worker Name","矿机名"
"Worker Settings","矿机设定"
"OpenVPN Config","OpenVPN配置"
"Are you sure?","你确定吗？"
"Worker Password","矿机密码"
"Settings.ChangePass1","如果你只在数据库更新密码，并且有正在运行的矿机使用它，那么这些矿机将会掉线。"
"Settings.ChangePass2","在数据库更新密码并在矿机端也做更改，将会为在线的矿机更改密码。密码只有当矿机发出提醒后才会被更改。"
"Settings.ChangePass3","仅在数据库更改密码。那么用当前密码的矿机将会掉线。"
"Transfer Worker","转移矿机"
"Settings.WalletTransferFarm","转移矿机到另一个矿场"
"Settings.RemoveProject5","是否希望移除矿机？"
"Settings.WalletTransfer","钱包不随矿机而转移。请在这步之后应用另一个矿场的钱包。"
"Settings.ConfirmTransferWorker","是否希望转移矿机？"
"Select farm","选择矿场"
"Settings.TransferWorker","Flight Sheet不随矿机而复制。请在这步之后应用新矿场的Flight Sheet"
"Transfer Worker?","是否转移矿机？"
"Tuning","调试"
"Worker","矿机"
"Online","在线"
"With Errors","故障"
"Hide filters","隐藏筛选"
"Show filters","显示筛选"
"with","with"
"Name changed","名称已变更"
"Farm settings","矿场设定"
"Settings.MargeProject","你只能合并这个项目和其他你管理的项目"
"Merge Project","合并项目"
"Transfer Project","转移项目"
"Type project name","输入项目名称"
"Select user login","选择登录用户"
"Remove Project","移除项目"
"Farm.Setting.Text1","你将移除矿场"
"Type Project Name","输入项目名称"
"You are going to merge farm","你将合并矿场"
"Merged project CANNOT be restored!","合并的项目将不能被恢复！"
"Are you ABSOLUTELY sure?","你确定吗？"
"Save Changes","保存更改"
"Timezone changed","时区已更改"
"Farm changed","矿场已更改"
"Farm.Settings.TagsDescription","给矿机添加自定义标签"
"Farm.Settings.RemoveDescription1","移除项目将会删除其储存库以及全部有关资料，包括事件，合并请求等等"
"Farm.Settings.RemoveDescription2","移除的项目将不会被恢复！"
"Farm Title","矿场标题"
"Remove Farm","移除矿场"
"Question.ChangeFarmOwner","是否变更矿场所有者？"
"ChangeOwnership","转移所有权给"
"Leave Farm","离开矿场"
"Settings.LeaveFarm","此后您将失去对此矿场的权限"
"","是否希望变更矿场拥有者？"
"RemoveFarmAccess","移除矿场权限"
"Question.RemoveAccess","确定移除你的权限？"
"Question.RemoveFarm","你要移除矿场吗？"
"Question.LeaveFarm","你要离开矿场吗？"
"Farm.Setting.FarmHashDescription1","矿场Hash是用来连接矿机到矿场，而不需要在网页端预生成。"
"Farm.Setting.FarmHashDescription2","只需设定它"
"Farm.Setting.FarmHashDescription3","在初次运行前"
"More details","更多细节"
"Farm Hash","矿场Hash"
"Transfer farm","转移矿场"
"Farm.Setting.TransferDescription","转移矿场给另一个用户。被输入登录名的现有用户将成为矿场的新所有者。"
"No wallets found so far.","没有找到钱包"
"FlightSheetForm.NamePlaceholder","输入Flight Sheet的名称"
"FSFormItem.DcriHelp","Decred/Siacoin/Lbry/Pascal 强度，默认值为30。PASC的合理值在10左右，SIA在15左右。过高的值会降低ETH挖矿效率。"
"PoolConfigModal.Advanced","高级配置"
"PoolConfigModal.AdvancedHint","<strong>小心</strong> 每个URL必须是单独一行"
"PoolConfigModal.PoolUrls","输入URL"
"FS.ConfiguredInMiner","挖矿软件已配置"
"AutoFan","自动风扇"
"Token","Token"
"PageNotFound","对不起，该页面不存在"
"ConfirmPassword.Message","输入邮件中的新密码和Token"
"Ethminer.OpenCLCudaHint","选择GPU平台使用。注意同时使用OpenCL和CUDA将会失败。尝试在Extra Params中使用<code>--opencl-platform 1</code> 或 <code>0</code>来使用它。"
"AllRedTemps.Hint","当超过这些值时，温度将显示为红色"
"RedTemp.Hint","当超过这个值时，温度将显示为红色"
"AutoFans.NoAMD","不控制AMD显卡，仅Nvidia"
"AutoFans.Info","开启风扇控制。将使GPU接近目标温度。在极端温度时挖矿会停止。不要忘记在挖矿软件中关闭对AMD显卡的温度控制。"
"RadeonCardFrom.coreState.text3","或者GPU核心的功耗等级。对于RX显卡，值为"
"RadeonCardFrom.AggressiveUndervolting","激进降压(为每个DPM状态设定超频)"
"Settings.VPN","VPN目前无法更改。命令正在运行"
"VPN.HelpInfo","文件将以如下形式命名。client.conf内的证书应被命名为ca.crt，client.key。你也把证书嵌入到client.conf中，并只上传一个文件。"
"Required filed","必填"
"Promocode","优惠码"
"GPU","GPU"
"ASICS","ASICS"
"Account Login","账号登陆"
"Password changed","密码已更改"
"Settings.transferTargetText","您已发送一个转移请求给"
"FarmTempHeader.GPUCriticalTemperature","GPU极端温度"
"Account.AuthenticationTwoFactor1","备份这个码，最好的做法是截屏并打印出来。"
"Account.AuthenticationTwoFactor2","如果您丢失了这个码，一旦认证设备(手机)丢失，您将无法保留账号的权限"
"SelectAmd","选择AMD显卡"
"Activity","活动"
"Access","权限"
"Settings","设定"
"Unsubscribe","不再关注"
"File shouldn't be empty","文件不能为空"
"TheLatestActivity","最新活动"
"Referal.EnterPromocode","输入您的优惠码"
"FlightSheetFrom.AddMiner","如果您要运行几个挖矿软件"
"Settings.NotificationSubscribe","你没有订阅"
"OverclockingAlgoFrom.Title1","编辑超频设定"
"OverclockingAlgoFrom.Title2","配置超频设定"
"NewWallet","新的钱包"
"EditWallet","编辑钱包地址"
"Settings.Notifications.AccountLogin","账号登陆"
"Settings.Notifications.DetectedWorkerOffline","检测到矿机掉线"
"Settings.Notifications.DetectedWorkerOnline","检测到矿机在线"
"Settings.Notifications.WorkerBooted","启动的矿机"
"Settings.Notifications.ErrorMessages","错误消息"
"Settings.Notifications.WarningMessages","警告消息"
"Settings.Notifications.InfoMessages","信息消息"
"Settings.Notifications.SuccessMessages","成功消息"
"Settings.Notifications.GPUTemp","GPU Temp >= Red Temp + 3°"
"Settings.Notifications.HourlySummary","每小时总结"
"ConfirmTransferToHive.Title","存多少到Hive OS？"
"ConfirmTransferToHive.ErrorMessage","您没有足够的金额"
"FS.ConfirmatioTitle","注意！这个Flight Sheet正在其他矿机上运行"
"FS.ConfirmatioMessage","您希望在这台矿机上运行一个新的Flight Sheet还是随别的矿机一起更新？"
"FS.UpdateAll","更新所有的矿机"
"FS.CreateNewFS","创建新的FS"
"NvidiaCardForm.DelayPill","运行pill之前的延迟(秒)"
"NvidiaCardForm.DelayPillHint","或许有助于某些1080显卡避免bug，试着把这个值设到120或更高"
"WorkerSettings.CardsQuantityHint","矿机内的显卡数量自动增加。如果你要减少它，请升级这个参数。"
"WorkerSettings.CardsQuantityPlaceholder","输入数量"
"Cards Quantity","显卡质量"
"WorkerSettings.DisableGUI","系统启动时关闭GUI"
"WorkerSettings.DisableGUIHint","对Nvidia显卡不启动X服务器，仅启动控制台，不超频"
"WorkerSettings.Resend","重新发送所有配置文件"
"WorkerSettings.ResendHint","为了避免矿机没有被同步到，你可以发送所有的挖矿软件，超频及其他配置"
"Push","推送"
"MinerForm.Template.examples","模版示例"
"MinerForm.Template.forMost","对于大多数的矿池"
"MinerForm.Template.for","对于"
"MinerForm.Template.text1","请阅读你的矿池帮助文件获取正确及具体的模板格式"
"MinerForm.Template.text2","将被钱包的相关正确值替代"
"MinerForm.Template.text3","将被矿机名替代"
"WDConfig.EnableWatching","开启算力监视，如果掉到设定的最低值以下，挖矿软件将会重启"
"WDConfig.RestartNotHelp","如果挖矿软件重启无效，系统将重启"
"WDConfig.On","算力监视器开启"
"WDConfig.Off","算力监视器关闭"
"WDConfig.SetUsed","为正在使用的挖矿软件设定值"
"WDConfig.SetOther","为其他挖矿软件设定值"
"ConsoleCommand.ShowInfo","显示Nvidia显卡的相关信息"
"ConsoleCommand.ShowFreq","显示当前AMD显卡的频率"
"ConsoleCommand.LogsRam","在RAM中记录，节省USB"
"ConsoleCommand.LogsDisk","在磁盘记录，将会在系统重启后留存"
"ConsoleCommand.ShowFreqAmd","显示当前AMD显卡的频率"
"ConsoleCommand.AmdExtended","显示AMD显卡的拓展信息"
"ConsoleCommand.AmdVoltage","显示AMD显卡#0的电压表"
"ConsoleCommand.SayHello","向服务器发送讯号，刷新数据"
"ConsoleCommand.ServiceBoot","显示Hive服务启动日志"
"ConsoleCommand.SendReset","向OpenDev监视器发送“reset”命令"
"ConsoleCommand.SendPower","向OpenDev监视器发送“power”命令"
"ConsoleCommand.GpuScript","通过风扇找到GPU"
"Deselect","取消选定"
"Overclocking Profiles","超频配置文件"
"MinerForm.Url.PoolUrl","矿池URL链接包括协议与端口，像"
"MinerForm.Url.ForFailOver","对于备用矿池只需要写在下一行，不写表示全部只用一个"
"MinerForm.BminerForm.With","with"
"MinerForm.BminerForm.More","更多"
"MinerForm.Url.ItHas","格式同"
"MinerForm.Url.LooksLike","举例来说，看起来像"
"MinerForm.Url.Subscribe","如果你在使用flypool，替换掉它"
"MinerForm.Url.IfYou","如果通过SSL连接矿池"
"MinerForm.Url.Examples","bminer的例子"
"MinerForm.UserConfig.Text1","如果需要，在配置文件中加入更多的参数。每一条单独一行，最后不要加逗号或句号。参考已生成的配置文件获取可用的挖矿软件配置值。"
"MinerForm.UserConfig.Text2","设定频率"
"MinerForm.UserConfig.Text3","设定电压"
"MinerForm.UserConfig.Text4","挖矿软件API可用的方法"
"MinerForm.BMinerConfig.Text1","你可以在这输入内容，如"
"MinerForm.BMinerConfig.Text2","用空格间隔CUDA设备名单"
"MinerForm.BMinerConfig.Text3","更多选项"
"MinerForm.BMinerConfig.Text4","Bminer参考"
"MinerForm.Fork.List","分叉的详细列表"
"MinerForm.Fork.here","这里"
"MinerForm.Fork.Run","运行"
"MinerForm.Fork.Check","查看分叉更新"
"MinerForm.Algo.Which","选择哪个算法挖矿"
"MinerForm.Algo.ItShould","应该是"
"MinerForm.Algo.Example","举例来说"
"MinerForm.InstallUrl.Where","URL哪里获取"
"MinerForm.InstallUrl.Package","数据包。如果已经安装了将不会被下载"
"MinerForm.Miner","这是安装好的挖矿软件的名称，如"
